"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1790","Это новый тест","firefox","Fri Mar 07 18:00:14 GMT 2025","passed","Fri Mar 07 18:00:16 GMT 2025","Шаблон","facade.spec.js","",""
"","372","get challenges","chromium","Fri Mar 07 18:02:11 GMT 2025","failed","Fri Mar 07 18:02:11 GMT 2025","Challenge with Service","api2.spec.js","",""
"","1513","Это новый тест","webkit","Fri Mar 07 18:01:19 GMT 2025","passed","Fri Mar 07 18:01:20 GMT 2025","Шаблон","builder.spec.js","",""
"","1513","Пользователь может авторизоваться используя логин пароль","webkit","Fri Mar 07 18:02:05 GMT 2025","passed","Fri Mar 07 18:02:06 GMT 2025","Авторизация","pageobjectSimple.spec.js","",""
"","1796","Это новый тест","firefox","Fri Mar 07 18:01:12 GMT 2025","passed","Fri Mar 07 18:01:14 GMT 2025","Шаблон","template.spec.js","",""
"","6105","Пользователь может зарегистрировать POv2","webkit","Fri Mar 07 18:01:37 GMT 2025","failed","Fri Mar 07 18:01:43 GMT 2025","Page Object middle","pageobjectMedium.spec.js","",""
"","806","get challenges","firefox","Fri Mar 07 18:00:07 GMT 2025","passed","Fri Mar 07 18:00:08 GMT 2025","Challenge","api.spec.js","",""
"","30118","Пользователь может авторизоваться используя логин пароль","chromium","Fri Mar 07 18:05:32 GMT 2025","broken","Fri Mar 07 18:06:02 GMT 2025","Авторизация","pageobjectSimple.spec.js","",""
"","6138","Пользователь может зарегистрировать POv21","chromium","Fri Mar 07 18:04:23 GMT 2025","failed","Fri Mar 07 18:04:29 GMT 2025","Page Object middle V2","pageobjectMediumv2.spec.js","",""
"","2546","Пользователь может авторизоваться используя логин пароль","firefox","Fri Mar 07 18:01:09 GMT 2025","passed","Fri Mar 07 18:01:12 GMT 2025","Авторизация","pageobjectSimple.spec.js","",""
"","7122","Пользователь может зарегистрировать POv2","firefox","Fri Mar 07 18:00:34 GMT 2025","failed","Fri Mar 07 18:00:42 GMT 2025","Page Object middle","pageobjectMedium.spec.js","",""
"","1484","Это новый тест","webkit","Fri Mar 07 18:02:06 GMT 2025","passed","Fri Mar 07 18:02:08 GMT 2025","Шаблон","template.spec.js","",""
"","1486","Это новый тест","webkit","Fri Mar 07 18:01:20 GMT 2025","passed","Fri Mar 07 18:01:22 GMT 2025","Шаблон","facade.spec.js","",""
"","1460","Это новый тест с фикстурой нового пользователя","webkit","Fri Mar 07 18:01:22 GMT 2025","passed","Fri Mar 07 18:01:23 GMT 2025","Фикстуры","fast.spec.js","",""
"","368","get challenges","webkit","Fri Mar 07 18:01:17 GMT 2025","failed","Fri Mar 07 18:01:18 GMT 2025","Challenge with Service","api2.spec.js","",""
"","768","get challenges","webkit","Fri Mar 07 18:01:15 GMT 2025","passed","Fri Mar 07 18:01:16 GMT 2025","Challenge","api.spec.js","",""
"","1528","Это новый тест","chromium","Fri Mar 07 18:02:12 GMT 2025","passed","Fri Mar 07 18:02:14 GMT 2025","Шаблон","builder.spec.js","",""
"","1753","Это новый тест с фикстурой нового пользователя","firefox","Fri Mar 07 18:00:16 GMT 2025","passed","Fri Mar 07 18:00:18 GMT 2025","Фикстуры","fast.spec.js","",""
"","341","get challenges","chromium","Fri Mar 07 18:02:12 GMT 2025","passed","Fri Mar 07 18:02:12 GMT 2025","Challenge","apiAxios.spec.js","",""
"","1530","Это новый тест","chromium","Fri Mar 07 18:06:02 GMT 2025","passed","Fri Mar 07 18:06:04 GMT 2025","Шаблон","template.spec.js","",""
"","2599","Это новый тест","firefox","Fri Mar 07 18:00:11 GMT 2025","passed","Fri Mar 07 18:00:14 GMT 2025","Шаблон","builder.spec.js","",""
"","342","get challenges","webkit","Fri Mar 07 18:01:18 GMT 2025","passed","Fri Mar 07 18:01:19 GMT 2025","Challenge","apiAxios.spec.js","",""
"","7176","Пользователь может зарегистрировать POv21","firefox","Fri Mar 07 18:01:00 GMT 2025","failed","Fri Mar 07 18:01:08 GMT 2025","Page Object middle V2","pageobjectMediumv2.spec.js","",""
"","340","get challenges","firefox","Fri Mar 07 18:00:11 GMT 2025","passed","Fri Mar 07 18:00:11 GMT 2025","Challenge","apiAxios.spec.js","",""
"","352","get challenges","firefox","Fri Mar 07 18:00:10 GMT 2025","failed","Fri Mar 07 18:00:10 GMT 2025","Challenge with Service","api2.spec.js","",""
"","731","get challenges","chromium","Fri Mar 07 18:02:09 GMT 2025","passed","Fri Mar 07 18:02:09 GMT 2025","Challenge","api.spec.js","",""
"","1552","Это новый тест","setup","Fri Mar 07 18:00:05 GMT 2025","passed","Fri Mar 07 18:00:06 GMT 2025","","auth.setup.js","",""
"","1515","Это новый тест с фикстурой нового пользователя","chromium","Fri Mar 07 18:03:47 GMT 2025","passed","Fri Mar 07 18:03:48 GMT 2025","Фикстуры","fast.spec.js","",""
"","30117","Это новый тест","chromium","Fri Mar 07 18:03:16 GMT 2025","broken","Fri Mar 07 18:03:46 GMT 2025","Шаблон","facade.spec.js","",""
"","6146","Пользователь может зарегистрировать POv2","chromium","Fri Mar 07 18:04:02 GMT 2025","failed","Fri Mar 07 18:04:08 GMT 2025","Page Object middle","pageobjectMedium.spec.js","",""
"","6124","Пользователь может зарегистрировать POv21","webkit","Fri Mar 07 18:01:58 GMT 2025","failed","Fri Mar 07 18:02:04 GMT 2025","Page Object middle V2","pageobjectMediumv2.spec.js","",""
